Principle,Guideline,Success Criterion,Level,Description,Test Method,Priority,Common Issues
1 Perceivable,1.1 Text Alternatives,1.1.1 Non-text Content,A,All images have alt text,Screen reader test,Critical,Missing alt text on logos
1 Perceivable,1.2 Time-based Media,1.2.1 Audio-only and Video-only (Prerecorded),A,Transcript for audio-only,Manual review,High,Rare for directory sites
1 Perceivable,1.3 Adaptable,1.3.1 Info and Relationships,A,Semantic structure conveys meaning,HTML validator,Critical,Misused heading levels
1 Perceivable,1.3 Adaptable,1.3.2 Meaningful Sequence,A,Content order is logical,Keyboard test,Critical,CSS changes visual order
1 Perceivable,1.3 Adaptable,1.3.3 Sensory Characteristics,A,Instructions don't rely solely on color/shape,Visual inspection,Critical,"Use 'red button' without context"
1 Perceivable,1.4 Distinguishable,1.4.1 Use of Color,A,Color not sole method of conveying info,Color blindness simulation,Critical,Errors only in red text
1 Perceivable,1.4 Distinguishable,1.4.2 Audio Control,A,Audio can be stopped/paused,Manual test,Medium,Auto-playing audio
1 Perceivable,1.4 Distinguishable,1.4.3 Contrast (Minimum),AA,4.5:1 contrast for normal text,Contrast checker,Critical,Gray text on white
1 Perceivable,1.4 Distinguishable,1.4.4 Resize Text,AA,Text can resize to 200%,Browser zoom test,High,Fixed font sizes in px
1 Perceivable,1.4 Distinguishable,1.4.5 Images of Text,AA,Text used instead of images where possible,OCR test,Medium,Contact info in images
1 Perceivable,1.4 Distinguishable,1.4.10 Reflow,AA,No horizontal scroll at 400% zoom,Zoom test,Critical,Fixed-width layouts
1 Perceivable,1.4 Distinguishable,1.4.11 Non-text Contrast,AA,3:1 contrast for UI components,Contrast checker,High,Button borders invisible
1 Perceivable,1.4 Distinguishable,1.4.12 Text Spacing,AA,No content loss with increased spacing,CSS override test,Medium,Overlapping text
1 Perceivable,1.4 Distinguishable,1.4.13 Content on Hover or Focus,AA,Hover content is dismissible/persistent,Hover test,Medium,Dropdowns that won't close
2 Operable,2.1 Keyboard Accessible,2.1.1 Keyboard,A,All functionality available via keyboard,Keyboard-only test,Critical,Mouse-only dropdowns
2 Operable,2.1 Keyboard Accessible,2.1.2 No Keyboard Trap,A,Keyboard focus doesn't get stuck,Tab test,Critical,Modal without escape
2 Operable,2.1 Keyboard Accessible,2.1.4 Character Key Shortcuts,A,Single key shortcuts can be turned off/off,Keyboard test,Low,Not common
2 Operable,2.2 Enough Time,2.2.1 Timing Adjustable,A,Time limits can be extended/turned off,Manual test,Low,Session timeouts
2 Operable,2.2 Enough Time,2.2.2 Pause/Stop/Hide,A,Moving content can be paused,Manual test,Medium,Auto-scrolling carousels
2 Operable,2.3 Seizures,2.3.1 Three Flashes or Below Threshold,A,No content flashes more than 3 times per second,Flash detection,Critical,Flashing ads
2 Operable,2.4 Navigable,2.4.1 Bypass Blocks,A,Skip to main content link available,Keyboard test,Critical,No skip link
2 Operable,2.4 Navigable,2.4.2 Page Titled,A,Page has descriptive title,HTML validation,Critical,"Title is 'Home' only"
2 Operable,2.4 Navigable,2.4.3 Focus Order,A,Focus order is logical,Tab test,Critical,Focus jumps randomly
2 Operable,2.4 Navigable,2.4.4 Link Purpose (In Context),A,Link text makes sense out of context,Screen reader test,Critical,"'Click here' links"
2 Operable,2.4 Navigable,2.4.5 Multiple Ways,AA,Multiple ways to find pages,Navigation audit,Medium,Only one navigation method
2 Operable,2.4 Navigable,2.4.6 Headings and Labels,AA,Headings and labels describe purpose,Screen reader test,Critical,Vague headings
2 Operable,2.4 Navigable,2.4.7 Focus Visible,AA,Keyboard focus indicator is visible,Visual inspection,Critical,No focus outline
2 Operable,2.5 Input Modalities,2.5.1 Pointer Gestures,A,Complex gestures have alternatives,Touch test,Medium,Swipe-only navigation
2 Operable,2.5 Input Modalities,2.5.2 Pointer Cancellation,A,Actions on up-event not down-event,Click test,Medium,Accidental activation
2 Operable,2.5 Input Modalities,2.5.3 Label in Name,A,Accessible name contains visible text,Screen reader test,High,Icon-only buttons
2 Operable,2.5 Input Modalities,2.5.4 Motion Actuation,A,Motion can be disabled,Device test,Low,Shake to refresh
2 Operable,2.5 Input Modalities,2.5.5 Target Size,AAA,Touch targets at least 44x44px,Measurement,Recommended,Small touch targets
2 Operable,2.5 Input Modalities,2.5.6 Concurrent Input Mechanisms,AAA,Don't restrict input types,Multi-device test,Recommended,Touch-only on desktop
